model,provider,model_id,prefill_ok,fact,pool,side,stem,position,claim,stem_text,text,status,scorer_G,scorer_Q,markers_G,markers_Q,error,ts
gemma2-9b-groq,groq,gemma2-9b-it,0,0,common,false,elaborate,document,the capital of Australia is Sydney,The capital of Australia is Sydney. To elaborate:,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:40:15.977329+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,1,common,none,none,none,,,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:40:32.955860+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,1,common,true,plain,user,Mars is the red planet,Mars is the red planet.,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:40:50.878463+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,1,common,true,plain,document,Mars is the red planet,Mars is the red planet.,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:41:08.488397+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,1,common,true,because,user,Mars is the red planet,"Mars is the red planet, which is the case because",,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:41:26.389694+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,1,common,true,because,document,Mars is the red planet,"Mars is the red planet, which is the case because",,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:41:44.803373+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,1,common,true,established,user,Mars is the red planet,"Mars is the red planet. This is well established, and",,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:42:03.151148+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,1,common,true,established,document,Mars is the red planet,"Mars is the red planet. This is well established, and",,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:42:20.464143+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,1,common,true,elaborate,user,Mars is the red planet,Mars is the red planet. To elaborate:,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:42:37.790778+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,1,common,true,elaborate,document,Mars is the red planet,Mars is the red planet. To elaborate:,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:42:56.295951+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,1,common,false,plain,user,Venus is the red planet,Venus is the red planet.,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:43:14.563494+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,1,common,false,plain,document,Venus is the red planet,Venus is the red planet.,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:43:31.137737+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,1,common,false,because,user,Venus is the red planet,"Venus is the red planet, which is the case because",,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:43:49.379286+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,1,common,false,because,document,Venus is the red planet,"Venus is the red planet, which is the case because",,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:44:08.980446+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,1,common,false,established,user,Venus is the red planet,"Venus is the red planet. This is well established, and",,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:44:26.519245+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,1,common,false,established,document,Venus is the red planet,"Venus is the red planet. This is well established, and",,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:44:44.515817+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,1,common,false,elaborate,user,Venus is the red planet,Venus is the red planet. To elaborate:,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:45:02.229975+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,1,common,false,elaborate,document,Venus is the red planet,Venus is the red planet. To elaborate:,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:45:19.825051+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,2,common,none,none,none,,,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:45:38.151654+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,2,common,true,plain,user,diamond is the hardest natural mineral,Diamond is the hardest natural mineral.,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:45:57.239410+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,2,common,true,plain,document,diamond is the hardest natural mineral,Diamond is the hardest natural mineral.,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:46:15.687679+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,2,common,true,because,user,diamond is the hardest natural mineral,"Diamond is the hardest natural mineral, which is the case because",,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:46:34.487016+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,2,common,true,because,document,diamond is the hardest natural mineral,"Diamond is the hardest natural mineral, which is the case because",,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:46:52.234879+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,2,common,true,established,user,diamond is the hardest natural mineral,"Diamond is the hardest natural mineral. This is well established, and",,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:47:09.979103+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,2,common,true,established,document,diamond is the hardest natural mineral,"Diamond is the hardest natural mineral. This is well established, and",,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:47:27.578657+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,2,common,true,elaborate,user,diamond is the hardest natural mineral,Diamond is the hardest natural mineral. To elaborate:,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:47:45.866554+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,2,common,true,elaborate,document,diamond is the hardest natural mineral,Diamond is the hardest natural mineral. To elaborate:,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:48:03.242254+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,2,common,false,plain,user,talc is the hardest natural mineral,Talc is the hardest natural mineral.,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:48:20.447003+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,2,common,false,plain,document,talc is the hardest natural mineral,Talc is the hardest natural mineral.,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:48:38.784692+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,2,common,false,because,user,talc is the hardest natural mineral,"Talc is the hardest natural mineral, which is the case because",,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:48:56.618559+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,2,common,false,because,document,talc is the hardest natural mineral,"Talc is the hardest natural mineral, which is the case because",,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:49:14.458326+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,2,common,false,established,user,talc is the hardest natural mineral,"Talc is the hardest natural mineral. This is well established, and",,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:49:32.309544+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,2,common,false,established,document,talc is the hardest natural mineral,"Talc is the hardest natural mineral. This is well established, and",,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:49:49.513147+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,2,common,false,elaborate,user,talc is the hardest natural mineral,Talc is the hardest natural mineral. To elaborate:,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:50:06.700553+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,2,common,false,elaborate,document,talc is the hardest natural mineral,Talc is the hardest natural mineral. To elaborate:,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:50:23.770572+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,3,common,none,none,none,,,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:50:41.245863+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,3,common,true,plain,user,the human heart has four chambers,The human heart has four chambers.,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:50:58.384803+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,3,common,true,plain,document,the human heart has four chambers,The human heart has four chambers.,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:51:16.543311+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,3,common,true,because,user,the human heart has four chambers,"The human heart has four chambers, which is the case because",,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:51:34.511647+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,3,common,true,because,document,the human heart has four chambers,"The human heart has four chambers, which is the case because",,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:51:52.508581+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,3,common,true,established,user,the human heart has four chambers,"The human heart has four chambers. This is well established, and",,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:52:09.378521+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,3,common,true,established,document,the human heart has four chambers,"The human heart has four chambers. This is well established, and",,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:52:26.913705+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,3,common,true,elaborate,user,the human heart has four chambers,The human heart has four chambers. To elaborate:,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:52:43.991561+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,3,common,true,elaborate,document,the human heart has four chambers,The human heart has four chambers. To elaborate:,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:53:01.635806+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,3,common,false,plain,user,the human heart has two chambers,The human heart has two chambers.,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:53:18.526594+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,3,common,false,plain,document,the human heart has two chambers,The human heart has two chambers.,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:53:35.199712+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,3,common,false,because,user,the human heart has two chambers,"The human heart has two chambers, which is the case because",,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:53:52.587293+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,3,common,false,because,document,the human heart has two chambers,"The human heart has two chambers, which is the case because",,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:54:10.129967+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,3,common,false,established,user,the human heart has two chambers,"The human heart has two chambers. This is well established, and",,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:54:28.317387+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,3,common,false,established,document,the human heart has two chambers,"The human heart has two chambers. This is well established, and",,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:54:45.522390+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,3,common,false,elaborate,user,the human heart has two chambers,The human heart has two chambers. To elaborate:,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:55:03.832158+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,3,common,false,elaborate,document,the human heart has two chambers,The human heart has two chambers. To elaborate:,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:55:22.635861+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,4,common,none,none,none,,,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:55:40.401154+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,4,common,true,plain,user,an adult human has 206 bones,An adult human has 206 bones.,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:55:58.249867+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,4,common,true,plain,document,an adult human has 206 bones,An adult human has 206 bones.,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:56:16.718042+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,4,common,true,because,user,an adult human has 206 bones,"An adult human has 206 bones, which is the case because",,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:56:33.460074+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,4,common,true,because,document,an adult human has 206 bones,"An adult human has 206 bones, which is the case because",,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:56:51.609945+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,4,common,true,established,user,an adult human has 206 bones,"An adult human has 206 bones. This is well established, and",,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:57:08.769946+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,4,common,true,established,document,an adult human has 206 bones,"An adult human has 206 bones. This is well established, and",,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:57:26.717744+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,4,common,true,elaborate,user,an adult human has 206 bones,An adult human has 206 bones. To elaborate:,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:57:45.062334+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,4,common,true,elaborate,document,an adult human has 206 bones,An adult human has 206 bones. To elaborate:,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:58:03.322399+00:00
gemma2-9b-groq,groq,gemma2-9b-it,0,4,common,false,plain,user,an adult human has 412 bones,An adult human has 412 bones.,,silent,0,0,,,BadRequestError: Error code: 400 - {'error': {'message': 'The model `gemma2-9b-it` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on,2026-08-10T17:58:21.362678+00:00
